file,n_AC,n_AC_inGrid,n_cubes,max_dim
PDB\1equ.cif,568,568,7695,2.9
PDB\1es7.cif,377,377,8100,2.9
PDB\1eur.cif,361,361,4560,2.9
PDB\1ex4.cif,416,416,13156,2.9
PDB\1f42.cif,297,297,7072,2.9
PDB\1f6b.cif,356,356,6930,2.9
PDB\1fj2.cif,458,458,4680,2.9
PDB\1fl7.cif,387,387,7020,2.9
PDB\1g1s.cif,337,337,10368,2.9
PDB\1ghq.cif,570,570,15080,2.9
PDB\1gk4.cif,450,450,17280,2.9
PDB\1gwq.cif,503,503,7980,2.9
PDB\1hvy.cif,1148,1148,42624,2.9
PDB\1hyr.cif,527,527,20160,2.9
PDB\1ivo.cif,1115,1115,30360,2.9
PDB\1j33.cif,333,333,5610,2.9
PDB\1jwh.cif,1075,1075,44400,2.9
PDB\1k2w.cif,512,512,10166,2.9
PDB\1kkh.cif,317,317,4998,2.9
PDB\1l4a.cif,324,324,7800,2.9
PDB\1ni2.cif,592,592,23814,2.9
PDB\1o5t.cif,378,378,6783,2.9
PDB\1oc0.cif,401,401,7866,2.9
PDB\1q2h.cif,188,188,4080,2.9
PDB\1ry7.cif,364,364,10692,2.9
PDB\1vhn.cif,299,299,4913,2.9
PDB\1via.cif,311,311,5130,2.9
PDB\1xar.cif,290,290,4368,2.9
PDB\1yjd.cif,547,547,8976,2.9
PDB\1yrv.cif,153,153,2090,2.9
PDB\2d9q.cif,467,467,24192,2.9
PDB\2h6p.cif,384,384,7820,2.9
PDB\2osl.cif,913,913,26400,2.9
PDB\2v53.cif,292,292,8640,2.9
PDB\2xqb.cif,534,534,8448,2.9
PDB\3brx.cif,317,317,7040,2.9
PDB\3cpf.cif,258,258,10912,2.9
PDB\3m0d.cif,264,264,4928,2.9
PDB\3oai.cif,976,976,53922,2.9
PDB\3rjd.cif,257,257,7650,2.9
PDB\5ndd.cif,567,567,13158,2.9
PDB\1tnr.cif,283,283,9240,3
PDB\1lcy.cif,296,296,4500,3
PDB\3uon.cif,438,438,7290,3
PDB\5j11.cif,500,500,11492,3
PDB\1wd8.cif,559,559,14875,3
PDB\3ux9.cif,720,720,17280,3
PDB\2v1d.cif,815,815,40920,3
PDB\121p.cif,166,165,2028,3
PDB\1a00.cif,574,574,6804,3
PDB\1a05.cif,714,714,9918,3
PDB\1a22.cif,372,372,8464,3
PDB\1a30.cif,201,201,2464,3
PDB\1a5i.cif,265,265,3120,3
PDB\1a9u.cif,351,351,5832,3
PDB\1ag1.cif,498,498,9120,3
PDB\1ai1.cif,445,445,9450,3
PDB\1aoh.cif,290,290,4624,3
PDB\1au1.cif,329,329,6440,3
PDB\1azv.cif,306,306,5520,3
PDB\1b0f.cif,218,218,2002,3
PDB\1b7f.cif,334,334,6960,3
PDB\1bjp.cif,304,304,7770,3
PDB\1bnk.cif,200,200,2340,3
PDB\1c0f.cif,494,494,8664,3
PDB\1cd9.cif,750,750,22100,3
PDB\1csb.cif,504,504,12474,3
PDB\1d8u.cif,330,330,5491,3
PDB\1dtw.cif,708,708,11200,3
PDB\1dtz.cif,689,689,14973,3
PDB\1esl.cif,157,157,2508,3
PDB\1f05.cif,644,644,13832,3
PDB\1fu1.cif,373,373,21168,3
PDB\1h4l.cif,850,850,14250,3
PDB\1i0z.cif,664,664,9639,3
PDB\1jk8.cif,385,385,7752,3
PDB\1kon.cif,233,233,3136,3
PDB\1mla.cif,305,305,3332,3
PDB\1qym.cif,223,223,4446,3
PDB\1sht.cif,177,177,2002,3
PDB\1stf.cif,309,309,5100,3
PDB\1z92.cif,244,244,4420,3
PDB\2or8.cif,232,232,4860,3
